"typologie";"voie";"arrdt";"cycling_length"
"Pistes cyclables";"Boulevard Arago";"14";"24.34011975"
"Bandes cyclables";"Boulevard Arago";"13";"6.65027931"
"Bandes cyclables";"AVENUE DE VILLIERS";"17";"27.64655331"
"Pistes cyclables";"Avenue Emilie Laurent";"12";"63.55920061"
"Pistes cyclables";"Rue de la Poterne des Peupliers";"13";"53.58550968"
"Pistes cyclables";"Rue de la Poterne des Peupliers";"13";"47.9766474"
"Bandes cyclables";"Avenue de Clichy";"17";"6.86457366"
"Pistes cyclables";"Rue de Vaugirard";"15";"145.59221707"
"Pistes cyclables";"AVENUE JEAN JAURES";"19";"11.14706818"
"Pistes cyclables";"BOULEVARD MACDONALD";"19";"20.29987331"
"Pistes cyclables";"Boulevard Diderot";"12";"10.59689467"
"Couloirs de bus ouverts aux vélos";"Quai des Grands-Augustins";"6";"110.71591347"
"Pistes cyclables";"BOULEVARD DE BONNE NOUVELLE";"2";"8.6693425"
"Couloirs de bus ouverts aux vélos";"RUE DU CHATEAU";"14";"39.00611829"
"Couloirs de bus ouverts aux vélos";"BOULEVARD SAINT GERMAIN";"6";"20.94195794"
"Pistes cyclables";"Avenue de la Porte de la Plaine";"15";"18.91424055"
"Pistes cyclables";"Place des Insurgés de Varsovie";"15";"16.80193771"
"Pistes cyclables";"Place des Insurgés de Varsovie";"15";"23.4347737"
"Pistes cyclables";"BOULEVARD DAVOUT";"20";"3.81108238"
"Bandes cyclables";"AVENUE DE VILLIERS";"17";"62.81834419"
"Pistes cyclables";"Quai Branly";"7";"516.07572296"
"Pistes cyclables";"Quai Branly";"7";"514.90676633"
"Pistes cyclables";"Place Gambetta";"20";"18.15417903"
"Bandes cyclables";"Avenue de la Bourdonnais";"7";"43.87441273"
"Couloirs de bus ouverts aux vélos";"BOULEVARD SAINT GERMAIN";"6";"35.15388835"
"Couloirs de bus ouverts aux vélos";"Quai d'Austerlitz";"13";"243.48810226"
"Bandes cyclables";"Rue Marbeuf";"8";"24.03394619"
"Pistes cyclables";"Rue de Gergovie";"14";"12.70742245"
"Bandes cyclables";"Rue Linois";"15";"31.95619365"
"Pistes cyclables";"Rue Marcadet";"18";"87.50772674"
"Pistes cyclables";"Rue Le Peletier";"9";"154.80204487"
"Bandes cyclables";"Rue Saint-Charles";"15";"254.25416787"
"Bandes cyclables";"Rue de Charenton";"12";"115.80725285"
"Pistes cyclables";"Rue Didot";"14";"10.00923875"
"Pistes cyclables";"Rue Didot";"14";"8.04454241"
"Pistes cyclables";"Rue Didot";"14";"20.76723295"
"Bandes cyclables";"Avenue du Général Sarrail";"16";"162.12789435"
"Pistes cyclables";"Route des Sablons à la Porte Maillot";"16";"6.13034205"
"Bandes cyclables";"Boulevard Bessières";"17";"12.1554868"
"Pistes cyclables";"Rue de Rivoli";"4";"18.44573307"
"Pistes cyclables";"PORTE D AUBERVILLIERS";"19";"9.29972862"
"Pistes cyclables";"PORTE D AUBERVILLIERS";"19";"11.05155866"
"Pistes cyclables";"Place Auguste Baron";"19";"7.28276819"
"Pistes cyclables";"Rue de Rivoli";"4";"5.38868283"
"Bandes cyclables";"RUE DE GRENELLE";"7";"42.29071994"
"Pistes cyclables";"Quai Saint-Bernard";"5";"83.50491885"
"Pistes cyclables";"Rue de Rivoli";"4";"22.63352226"
"Pistes cyclables";"Avenue Franklin Roosevelt";"8";"76.46496469"
"Pistes cyclables";"Quai de Conti";"6";"146.19385684"
"Pistes cyclables";"Quai de Conti";"6";"145.78019135"
"Pistes cyclables";"Rue Saint-Antoine";"4";"12.63248553"
"Pistes cyclables";"AVENUE DE SAINT CLOUD";"16";"175.71170613"
"Couloirs de bus ouverts aux vélos";"AVENUE DU MAINE";"14";"246.5459148"
"Pistes cyclables";"Rue de Rivoli";"1";"1696.79298754"
"Pistes cyclables";"Place Léon Blum";"11";"24.94854595"
"Pistes cyclables";"Place Léon Blum";"11";"20.1936669"
"Couloirs de bus ouverts aux vélos";"AVENUE DU PRESIDENT WILSON";"16";"183.91126149"
"Couloirs de bus ouverts aux vélos";"AVENUE DE NEW YORK";"16";"14.54406312"
