"voie";"arrdt";"cycling_length"
"BOULEVARD DE MAGENTA";"10";"105.5838965"
"Avenue de Flandre";"19";"8.47790201"
"Quai André Citroën";"15";"23.44186363"
"COURS DE VINCENNES";"12";"27.7744844"
"Avenue des Champs-Elysées";"8";"23.27462736"
"Boulevard Voltaire";"11";"15.0700354"
"Boulevard Voltaire";"11";"19.5657051"
"Quai d'Austelitz";"13";"38.30696155"
"Avenue de la Porte de Saint-Ouen";"18";"18.10516114"
"Rue Buffon";"5";"629.31145008"
"RUE GUSTAVE FLAUBERT";"17";"41.54361341"
"Quai de la Tournelle";"5";"103.68490418"
"Boulevard Voltaire";"11";"721.16866507"
"BOULEVARD DIDEROT";"12";"6.30099882"
"AVENUE DAUMESNIL";"12";"28.94190752"
"AVENUE DAUMESNIL";"12";"14.41983804"
"Avenue de la Bourdonnais";"7";"97.28899501"
"Avenue de la Bourdonnais";"7";"21.78938347"
"Place des Insurgés de Varsovie";"15";"17.86242704"
"Place des Insurgés de Varsovie";"15";"13.50381271"
"Rue d'Aubervilliers";"18";"131.11904601"
"RUE LOUIS BLANC";"10";"24.7159742"
"Place Gambetta";"20";"8.82225058"
"Rue Robert Esnault-Pelterie";"7";"18.95660746"
"Place Jacques Copeau";"6";"14.16988892"
"Rue Marbeuf";"8";"211.75156776"
"Rue du Cardinal Lemoins";"5";"12.81597334"
"Rue Linois";"15";"29.78402086"
"Rue Linois";"15";"25.66897792"
"Rue de Monceau";"8";"39.88208628"
"Rue Marcadet";"18";"101.43287664"
"Rue de Javel";"15";"38.13635738"
"Rue Saint-Dominique";"7";"122.83590682"
"Rue Christian Dewet";"12";"107.93589083"
"Rue Lecourbe";"15";"440.40461963"
"Rue Didot";"14";"30.64572764"
"Rue Didot";"14";"27.78229848"
"Rue Fernand Pelloutier";"17";"70.8512911"
"Avenue de Clichy";"17";"42.48195601"
"Avenue du Parc des Princes";"16";"164.35567282"
"Avenue Georges Lafenestre";"14";"6.950531"
"Boulevard Arago";"14";"231.21998361"
"QUAI DE LA GARE";"13";"10.97298413"
"Boulevard Bessières";"17";"30.05976324"
"Rue Saint-Armand";"15";"51.88522543"
"Avenue des Champs-Elysées";"8";"15.12265589"
"Rue de Rivoli";"4";"23.0991998"
"Rue Saint-Antoine";"4";"18.13512799"
"Avenue de Clichy";"17";"11.97987494"
"Avenue de Clichy";"17";"4.30644253"
"Avenue de Clichy";"17";"3.30533636"
"Rue Riquet";"18";"26.89129433"
"Rue Francis de Croisset";"18";"2.90857804"
"RUE SAINT JACQUES";"5";"58.04676737"
"Place de la Bastille";"12";"96.42073258"
"Avenue de Clichy";"17";"31.40303021"
"Rue de Vaugirard";"15";"29.06878453"
"Rue Balard";"15";"10.23930582"
"BOULEVARD DE MAGENTA";"10";"16.89410319"
"Avenue de la Porte de Montreuil";"20";"74.51993037"
"Rue Alphonse Aulard";"19";"101.10584291"
"Boulevard Ney";"18";"12.21944236"
"BOULEVARD DE BERCY";"12";"13.43500708"
"Avenue de la Porte de la Plaine";"15";"6.2093516"
"BOULEVARD DE MAGENTA";"10";"16.93442883"
"Rue Saint-Hippolyte";"13";"9.73852665"
"Rue de Rivoli";"4";"12.774276"
"Rue de Rivoli";"4";"50.21645674"
"Rue de Rivoli";"4";"4.78045882"
"Avenue de la Porte d'Ivry";"13";"0.99412431"
"Avenue Franklin Roosevelt";"8";"113.3785439"
"Rue de Tilsitt";"17";"60.74536048"
"Quai Anatole France";"7";"820.68846352"
"Quai Anatole France";"7";"802.59922381"
"BOULEVARD MASSENA";"13";"97.08148331"
"Rue des Plantes";"14";"8.67969438"
"Rue Raymond Losserand";"14";"28.93999938"
"Boulevard Voltaire";"11";"20.17365581"
"RUE DU PRESSOIR";"20";"198.52567413"
"Boulevard Bessières";"17";"19.57930228"
"Boulevard Bessières";"17";"4.58874239"
"Boulevard Bessières";"17";"35.66846304"
"RUE DE MONTREUIL";"11";"15.91097934"
"RUE DU CHATEAU DES RENTIERS";"13";"18.56802428"
"PONT DE BIR HAKEIM";"15";"8.3699401"
"Rue de Turbigo";"3";"461.75936904"
"RUE LOUIS LUMIERE";"20";"31.87058471"
"BOULEVARD DIDEROT";"12";"15.39139136"
"Quai de Montebello";"5";"12.51862046"
